,tp,contactdate,contacttime,blocknumber,streetname,ReasonForStop,fulladdress,lat,lon
0,stop,2015-01-01 0:00:00,1604,1300,10TH ST,Traffic Violation,1300 10TH ST,37.8074338,-122.2906616
1,stop,2015-01-01 0:00:00,2145,,12th St & Jackson St,Reasonable Suspicion,12th St & Jackson St,37.8007886,-122.2662828
2,stop,2015-01-01 0:00:00,1543,900,32ND ST,Reasonable Suspicion,900 32ND ST,37.82241,-122.2760107
3,stop,2015-01-01 0:00:00,1100,3200,35TH AV,Traffic Violation,3200 35TH AV,37.7910896,-122.2046816
4,stop,2015-01-01 0:00:00,905,,35TH AVE & QUIGLEY ST,Traffic Violation,35TH AVE & QUIGLEY ST,37.7926715,-122.2023921
5,stop,2015-01-01 0:00:00,2255,,57th Ave & MACARTHUR BLVD,Traffic Violation,57th Ave & MACARTHUR BLVD,37.7768241,-122.1871221
6,stop,2015-01-01 0:00:00,1407,,73rd Ave & Hamilton Ave,Traffic Violation,73rd Ave & Hamilton Ave,37.7567734,-122.1908444
7,stop,2015-01-01 0:00:00,2312,1100,77TH AV,Traffic Violation,1100 77TH AV,37.7548189,-122.1885943
8,stop,2015-01-01 0:00:00,1042,300,8TH ST,Consensual Encounter,300 8TH ST,37.798806,-122.2701918
9,stop,2015-01-01 0:00:00,1705,1400,8TH ST,Traffic Violation,1400 8TH ST,37.8063601,-122.2934434
10,stop,2015-01-01 0:00:00,842,6600,AVENOL,Traffic Violation,6600 AVENOL,37.766374,-122.1879521
11,stop,2015-01-01 0:00:00,2353,700,Grand Av,Traffic Violation,700 Grand Av,37.8099507,-122.2493712
12,stop,2015-01-01 0:00:00,30,600,Hegenberger Rd,Traffic Violation,600 Hegenberger Rd,37.745705,-122.1956898
13,stop,2015-01-01 0:00:00,40,600,Hegenberger Rd,Traffic Violation,600 Hegenberger Rd,37.745705,-122.1956898
14,stop,2015-01-01 0:00:00,43,600,Hegenberger Rd,Traffic Violation,600 Hegenberger Rd,37.745705,-122.1956898
15,stop,2015-01-01 0:00:00,54,600,HEGENBERGER RD,Traffic Violation,600 HEGENBERGER RD,37.745705,-122.1956898
16,stop,2015-01-01 0:00:00,100,600,Hegenberger Rd,Traffic Violation,600 Hegenberger Rd,37.745705,-122.1956898
17,stop,2015-01-01 0:00:00,110,600,Hegenberger Rd,Traffic Violation,600 Hegenberger Rd,37.745705,-122.1956898
18,stop,2015-01-01 0:00:00,115,600,Hegenberger Rd,Traffic Violation,600 Hegenberger Rd,37.745705,-122.1956898
19,stop,2015-01-01 0:00:00,120,600,HEGENBERGER RD,Traffic Violation,600 HEGENBERGER RD,37.745705,-122.1956898
