,tp,dttm,blocknumber,streetname,ReasonForStop,fulladdress,lat,lon
0,useOfForce,2015-01-01 12:46:00,,69th Ave & Outlook Ave,Dispatched Call,69th Ave & Outlook Ave,37.7722431,-122.1730867
1,useOfForce,2015-01-04 13:52:00,3000,E 19th St,On View,3000 E 19th St,37.7834515,-122.2243086
2,useOfForce,2015-01-04 22:10:00,2700,25th Ave,Dispatched Call,2700 25th Ave,37.7923842,-122.2237965
3,useOfForce,2015-01-04 22:10:00,2700,25th Ave,Dispatched Call,2700 25th Ave,37.7923842,-122.2237965
4,useOfForce,2015-01-05 2:41:00,,55th Ave & Fleming St,On View,55th Ave & Fleming St,37.7752484,-122.1920728
5,useOfForce,2015-01-05 2:41:00,,55th Ave & Fleming St,On View,55th Ave & Fleming St,37.7752484,-122.1920728
6,useOfForce,2015-01-05 15:16:00,2300,73rd Ave,Dispatched Call,2300 73rd Ave,37.7641697,-122.178936
7,useOfForce,2015-01-05 15:16:00,2300,73rd Ave,Dispatched Call,2300 73rd Ave,37.7641697,-122.178936
8,useOfForce,2015-01-05 17:04:00,9100,Edes Ave,Dispatched Call,9100 Edes Ave,37.7391652,-122.1898615
9,useOfForce,2015-01-05 17:04:00,9100,Edes Ave,Dispatched Call,9100 Edes Ave,37.7391652,-122.1898615
10,useOfForce,2015-01-05 17:04:00,9100,Edes Ave,Dispatched Call,9100 Edes Ave,37.7391652,-122.1898615
11,useOfForce,2015-01-06 8:20:00,2900,Capp St,On View,2900 Capp St,37.7928422,-122.2167661
12,useOfForce,2015-01-06 10:30:00,1400,47th Ave,Dispatched Call,1400 47th Ave,37.7705024,-122.210775
13,useOfForce,2015-01-06 13:20:00,3200,San Pablo Ave,On View,3200 San Pablo Ave,37.8239227,-122.2778079
14,useOfForce,2015-01-06 13:20:00,3200,San Pablo Ave,On View,3200 San Pablo Ave,37.8239227,-122.2778079
15,useOfForce,2015-01-07 8:11:00,5800,Telegraph Ave,On View,5800 Telegraph Ave,37.844302,-122.2613327
16,useOfForce,2015-01-07 8:11:00,5800,Telegraph Ave,On View,5800 Telegraph Ave,37.844302,-122.2613327
17,useOfForce,2015-01-07 12:50:00,1500,7th St,"Special Project (e.g., 647b)",1500 7th St,37.8057707,-122.295762
18,useOfForce,2015-01-07 17:10:00,6400,MacArthur Blvd,On View,6400 MacArthur Blvd,37.7740365,-122.1792793
19,useOfForce,2015-01-08 19:35:00,1200,Franklin St,Citizen Flag Down,1200 Franklin St,37.8024773,-122.2708269
20,useOfForce,2015-01-08 19:40:00,1200,"Trestle Glen Rd, Oakland CA",Dispatched Call,"1200 Trestle Glen Rd, Oakland CA",37.8073864,-122.2307998
21,useOfForce,2015-01-08 19:40:00,1200,"Trestle Glen Rd, Oakland CA",Dispatched Call,"1200 Trestle Glen Rd, Oakland CA",37.8073864,-122.2307998
22,useOfForce,2015-01-08 19:40:00,1200,"Trestle Glen Rd, Oakland CA",Dispatched Call,"1200 Trestle Glen Rd, Oakland CA",37.8073864,-122.2307998
23,useOfForce,2015-01-09 14:17:00,7000,Lacey St,"Special Project (e.g., 647b)",7000 Lacey St,37.7712843,-122.1728754
24,useOfForce,2015-01-09 23:13:00,,88th Ave & Birch St,On View,88th Ave & Birch St,37.7533906,-122.1703605
25,useOfForce,2015-01-09 23:13:00,,88th Ave & Birch St,On View,88th Ave & Birch St,37.7533906,-122.1703605
26,useOfForce,2015-01-10 18:20:00,4200,Suter St,Dispatched Call,4200 Suter St,37.7870291,-122.1998132
27,useOfForce,2015-01-10 18:20:00,4200,Suter St,Dispatched Call,4200 Suter St,37.7870291,-122.1998132
28,useOfForce,2015-01-10 18:20:00,4200,Suter St,Dispatched Call,4200 Suter St,37.7870291,-122.1998132
29,useOfForce,2015-01-11 0:50:00,4400,E 12th St,Dispatched Call,4400 E 12th St,37.7711473,-122.2148557
30,useOfForce,2015-01-11 0:50:00,4400,E 12th St,Dispatched Call,4400 E 12th St,37.7711473,-122.2148557
31,useOfForce,2015-01-11 0:50:00,4400,E 12th St,Dispatched Call,4400 E 12th St,37.7711473,-122.2148557
32,useOfForce,2015-01-11 0:50:00,4400,E 12th St,Dispatched Call,4400 E 12th St,37.7711473,-122.2148557
33,useOfForce,2015-01-11 0:50:00,4400,E 12th St,Dispatched Call,4400 E 12th St,37.7711473,-122.2148557
34,useOfForce,2015-01-13 13:34:00,1100,29th Ave,Dispatched Call,1100 29th Ave,37.7774663,-122.2308013
35,useOfForce,2015-01-13 13:34:00,1100,29th Ave,Dispatched Call,1100 29th Ave,37.7774663,-122.2308013
36,useOfForce,2015-01-13 21:18:00,2200,Broadway,On View,2200 Broadway,37.8109785,-122.2665593
37,useOfForce,2015-01-13 21:18:00,2200,Broadway,On View,2200 Broadway,37.8109785,-122.2665593
38,useOfForce,2015-01-13 21:18:00,2200,Broadway,On View,2200 Broadway,37.8109785,-122.2665593
39,useOfForce,2015-01-13 22:30:00,9800,Stanley Ave,On View,9800 Stanley Ave,37.7523008,-122.1534044
40,useOfForce,2015-01-14 0:39:00,3000,Louise St,On View,3000 Louise St,37.8233277,-122.2844329
41,useOfForce,2015-01-14 0:39:00,3000,Louise St,On View,3000 Louise St,37.8233277,-122.2844329
42,useOfForce,2015-01-14 0:39:00,3000,Louise St,On View,3000 Louise St,37.8233277,-122.2844329
43,useOfForce,2015-01-14 10:51:00,,105th Ave & Creekside Ct,Dispatched Call,105th Ave & Creekside Ct,37.7273622,-122.1816167
44,useOfForce,2015-01-14 15:00:00,800,Mead Ave,"Drug Related (e.g., Surveillance)",800 Mead Ave,37.8164413,-122.2752727
45,useOfForce,2015-01-14 15:00:00,800,Mead Ave,"Drug Related (e.g., Surveillance)",800 Mead Ave,37.8164413,-122.2752727
46,useOfForce,2015-01-14 15:00:00,800,Mead Ave,"Drug Related (e.g., Surveillance)",800 Mead Ave,37.8164413,-122.2752727
47,useOfForce,2015-01-15 12:20:00,2700,Alvingroom Ct,Dispatched Call,2700 Alvingroom Ct,37.7609648,-122.1613396
48,useOfForce,2015-01-15 19:51:00,1800,26th Ave,On View,1800 26th Ave,37.7843169,-122.228844
49,useOfForce,2015-01-16 22:21:00,5400,Bancroft Ave,"Special Project (e.g., 647b)",5400 Bancroft Ave,37.7720246,-122.2006248
50,useOfForce,2015-01-16 22:21:00,5400,Bancroft Ave,"Special Project (e.g., 647b)",5400 Bancroft Ave,37.7720246,-122.2006248
51,useOfForce,2015-01-16 22:21:00,5400,Bancroft Ave,"Special Project (e.g., 647b)",5400 Bancroft Ave,37.7720246,-122.2006248
52,useOfForce,2015-01-16 22:21:00,5400,Bancroft Ave,"Special Project (e.g., 647b)",5400 Bancroft Ave,37.7720246,-122.2006248
53,useOfForce,2015-01-16 22:21:00,5400,Bancroft Ave,"Special Project (e.g., 647b)",5400 Bancroft Ave,37.7720246,-122.2006248
54,useOfForce,2015-01-16 22:21:00,5400,Bancroft Ave,"Special Project (e.g., 647b)",5400 Bancroft Ave,37.7720246,-122.2006248
55,useOfForce,2015-01-17 19:05:00,3100,Filbert St,Dispatched Call,3100 Filbert St,37.8219389,-122.2780095
56,useOfForce,2015-01-17 19:05:00,3100,Filbert St,Dispatched Call,3100 Filbert St,37.8219389,-122.2780095
57,useOfForce,2015-01-17 19:05:00,3100,Filbert St,Dispatched Call,3100 Filbert St,37.8219389,-122.2780095
58,useOfForce,2015-01-18 20:37:00,1300,80th Ave,On View,1300 80th Ave,37.7553663,-122.1837604
59,useOfForce,2015-01-19 0:16:00,,64th Ave & Hayes St,Dispatched Call,64th Ave & Hayes St,37.7662653,-122.1908847
60,useOfForce,2015-01-21 23:30:00,8300,A St,Dispatched Call,8300 A St,37.754,-122.180052
61,useOfForce,2015-01-21 23:30:00,8300,A St,Dispatched Call,8300 A St,37.754,-122.180052
62,useOfForce,2015-01-23 19:57:00,10400,Edes Ave,Dispatched Call,10400 Edes Ave,37.7341109,-122.1784888
63,useOfForce,2015-01-23 19:57:00,10400,Edes Ave,Dispatched Call,10400 Edes Ave,37.7341109,-122.1784888
64,useOfForce,2015-01-23 19:57:00,10400,Edes Ave,Dispatched Call,10400 Edes Ave,37.7341109,-122.1784888
65,useOfForce,2015-01-23 19:57:00,10400,Edes Ave,Dispatched Call,10400 Edes Ave,37.7341109,-122.1784888
66,useOfForce,2015-01-23 19:57:00,10400,Edes Ave,Dispatched Call,10400 Edes Ave,37.7341109,-122.1784888
67,useOfForce,2015-01-24 8:05:00,4100,West St,Dispatched Call,4100 West St,37.8309951,-122.2708093
68,useOfForce,2015-01-24 8:05:00,4100,West St,Dispatched Call,4100 West St,37.8309951,-122.2708093
69,useOfForce,2015-01-25 14:44:00,3200,Chestnut St,Dispatched Call,3200 Chestnut St,37.823377,-122.2798319
70,useOfForce,2015-01-29 18:50:00,9800,Gould St,Dispatched Call,9800 Gould St,37.7406428,-122.1778638
71,useOfForce,2015-01-30 1:35:00,3900,Mera St,On View,3900 Mera St,37.7795253,-122.2143669
72,useOfForce,2015-02-01 0:03:00,1400,Harrison St,On View,1400 Harrison St,37.8029283,-122.2676028
73,useOfForce,2015-02-01 0:03:00,1400,Harrison St,On View,1400 Harrison St,37.8029283,-122.2676028
74,useOfForce,2015-02-02 16:50:00,1000,76th Ave,On View,1000 76th Ave,37.7541879,-122.1909663
75,useOfForce,2015-02-02 19:50:00,5000,Foothill Blvd,On View,5000 Foothill Blvd,37.7726564,-122.2063788
76,useOfForce,2015-02-02 19:50:00,5000,Foothill Blvd,On View,5000 Foothill Blvd,37.7726564,-122.2063788
77,useOfForce,2015-02-02 20:01:00,1900,87th Ave,On View,1900 87th Ave,37.753953,-122.170594
78,useOfForce,2015-02-02 20:56:00,900,45th St,On View,900 45th St,37.8344668,-122.2730091
79,useOfForce,2015-02-03 17:36:00,1300,84th Ave,On View,1300 84th Ave,37.7531542,-122.1792907
80,useOfForce,2015-02-03 17:36:00,1300,84th Ave,On View,1300 84th Ave,37.7531542,-122.1792907
81,useOfForce,2015-02-04 7:45:00,7000,MacArthur Blvd,Dispatched Call,7000 MacArthur Blvd,37.7703841,-122.1741172
82,useOfForce,2015-02-04 7:45:00,7000,MacArthur Blvd,Dispatched Call,7000 MacArthur Blvd,37.7703841,-122.1741172
83,useOfForce,2015-02-04 7:45:00,7000,MacArthur Blvd,Dispatched Call,7000 MacArthur Blvd,37.7703841,-122.1741172
84,useOfForce,2015-02-04 7:45:00,7000,MacArthur Blvd,Dispatched Call,7000 MacArthur Blvd,37.7703841,-122.1741172
85,useOfForce,2015-02-06 12:33:00,500,48th St,Dispatched Call,500 48th St,37.8350391,-122.262922
86,useOfForce,2015-02-06 20:46:00,,16th Ave & Gleason Way,On View,16th Ave & Gleason Way,37.7895946,-122.2429925
87,useOfForce,2015-02-06 20:46:00,,16th Ave & Gleason Way,On View,16th Ave & Gleason Way,37.7895946,-122.2429925
88,useOfForce,2015-02-07 0:22:00,2100,E 17th St,Dispatched Call,2100 E 17th St,37.7877043,-122.2365298
89,useOfForce,2015-02-07 0:22:00,2100,E 17th St,Dispatched Call,2100 E 17th St,37.7877043,-122.2365298
90,useOfForce,2015-02-07 0:22:00,2100,E 17th St,Dispatched Call,2100 E 17th St,37.7877043,-122.2365298
91,useOfForce,2015-02-07 0:22:00,2100,E 17th St,Dispatched Call,2100 E 17th St,37.7877043,-122.2365298
92,useOfForce,2015-02-07 0:22:00,2100,E 17th St,Dispatched Call,2100 E 17th St,37.7877043,-122.2365298
93,useOfForce,2015-02-07 0:22:00,2100,E 17th St,Dispatched Call,2100 E 17th St,37.7877043,-122.2365298
94,useOfForce,2015-02-07 1:30:00,2000,96th Ave,Dispatched Call,2000 96th Ave,37.7488231,-122.1650363
95,useOfForce,2015-02-07 10:40:00,1600,102nd Ave,Dispatched Call,1600 102nd Ave,37.741907,-122.1661574
96,useOfForce,2015-02-07 10:40:00,1600,102nd Ave,Dispatched Call,1600 102nd Ave,37.741907,-122.1661574
97,useOfForce,2015-02-07 10:40:00,1600,102nd Ave,Dispatched Call,1600 102nd Ave,37.741907,-122.1661574
